CUSTOMER_ID,CITY NAME,STATE ABBREVIATION,FIPS ZIP CODE,LON,LAT,EST HOUSEHOLD INCOME V5,LENGTH OF RESIDENCE,NUMBER OF ADULTS IN LIVING UNIT,MOSAIC HOUSEHOLD,CHILDREN: AGE 0-18 VERSION 3
07547895155,MINNEAPOLIS,MN,55420,-93.2962644494408,44.8532584342414,$15000-$24999,33,1,Q65,Not Likely
27589780437,MINNEAPOLIS,MN,55408,-93.28716,44.94835,$1000-$14999,08,1,K40,Possible
37509881658,MINNEAPOLIS,MN,55419,-93.2769201010101,44.8965828674084,$15000-$24999,01,1,O54,Likely
87532998122,MINNEAPOLIS,MN,55430,-93.28656471158,45.0494394422457,$50000-$74999,50,1,J36,Not Likely
77647086932,MINNEAPOLIS,MN,55442,-93.4399796440799,45.0645256288819,$100000-$124999,06,2,K37,Possible
47553966614,MINNEAPOLIS,MN,55428,-93.37511,45.06147,$15000-$24999,08,1,K40,Possible
97556918795,MINNEAPOLIS,MN,55422,-93.3535235329458,45.0280513502823,$15000-$24999,03,1,O54,Possible
47558735035,MINNEAPOLIS,MN,55404,-93.2582349666083,44.9666114018878,$25000-$34999,04,2,Q65,Not Likely
57594979107,MINNEAPOLIS,MN,55429,-93.33449,45.06483,$35000-$49999,02,1,O51,Possible
27513800592,MINNEAPOLIS,MN,55410,-93.3228496251821,44.9334104668627,$35000-$49999,01,1,F22,Likely
37598882707,MINNEAPOLIS,MN,55419,-93.2910153039489,44.922886884285,$175000-$199999,09,3,A05,Possible
77552806654,MINNEAPOLIS,MN,55410,-93.3164635782883,44.89439,$100000-$124999,03,2,F22,Possible
37672028606,MINNEAPOLIS,MN,55433,-93.3573007248812,45.1888478158745,$75000-$99999,17,3,B08,Yes
97560881420,MINNEAPOLIS,MN,55419,-93.2770691919192,44.8965828674084,$35000-$49999,02,1,O55,Yes
17673025742,MINNEAPOLIS,MN,55433,-93.3041442567255,45.1704529835623,$1000-$14999,06,1,O54,Not Likely
17634145265,MINNEAPOLIS,MN,55449,-93.1985342828976,45.1272459684319,$100000-$124999,09,2,B08,Yes
27573750170,MINNEAPOLIS,MN,55405,-93.3069208870809,44.9723527440621,$200000-$249999,13,2,A02,Not Likely
57523935208,MINNEAPOLIS,MN,55423,-93.3075475862321,44.8683889543484,$1000-$14999,00,1,O54,Possible
07603084394,MINNEAPOLIS,MN,55442,-93.4477588518522,45.0589536091081,$35000-$49999,00,4,K37,Likely
47512760383,MINNEAPOLIS,MN,55406,-93.2045369183595,44.9359862789185,$125000-$149999,09,2,C11,Not Likely
07642024063,MINNEAPOLIS,MN,55433,-93.3424597006278,45.1625773256855,$50000-$74999,20,3,J34,Not Likely
